Location,Year,Site ,Transect,Direction,BlackDeacon,Cabezon,Canary,China,Copper,Greenling,Lingcod,Quillback,Tiger,Widow,Wolfeel,Yellowtail,YOY,Vermillion,Halibut,Yelloweye,PugetSound
Neah Bay,2005,Site 1,T1,F,41,0,0,2,0,12,1,0,0,0,0,0,3,0,0,0,0
Neah Bay,2005,Site 1,T1,R,50,0,0,5,10,5,0,0,1,0,1,2,1,0,0,0,0
Neah Bay,2005,Site 1,T2,F,11,0,0,10,0,9,0,1,2,0,0,0,4,0,0,0,0
Neah Bay,2005,Site 1,T2,R,11,0,0,6,0,5,0,0,0,0,0,0,1,0,0,0,0
Neah Bay,2005,Site 1,T3,F,51,2,10,0,1,1,7,0,0,0,1,0,0,0,0,0,0
Neah Bay,2005,Site 1,T3,R,26,0,2,0,0,1,12,0,0,0,3,0,0,0,0,0,0
Neah Bay,2006,Site 1,T1,F,69,0,0,0,0,2,0,0,0,0,0,0,38,0,0,0,0
Neah Bay,2006,Site 1,T1,R,41,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2006,Site 1,T2,F,19,0,0,0,0,2,0,0,0,0,0,0,20,0,0,0,0
Neah Bay,2006,Site 1,T2,R,19,0,0,2,0,2,0,0,0,0,0,0,20,0,0,0,0
Neah Bay,2006,Site 1,T3,F,88,0,0,4,0,4,0,0,0,0,0,0,58,0,0,0,0
Neah Bay,2006,Site 1,T3,R,60,0,0,2,0,5,0,0,0,0,1,0,20,0,0,0,0
Neah Bay,2006,Site 1,T4,F,46,0,0,0,0,3,0,0,0,0,0,0,50,0,0,0,0
Neah Bay,2006,Site 1,T4,R,60,0,0,4,0,4,0,0,0,0,1,0,50,0,0,0,0
Neah Bay,2006,site 2 ,T1,F,7,0,0,3,0,2,0,0,0,0,0,0,60,0,0,0,0
Neah Bay,2006,site 2 ,T1,R,12,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
Neah Bay,2006,site 2,T2,F,40,0,0,0,0,1,0,0,0,0,0,0,80,0,0,0,0
Neah Bay,2006,site 2,T2,R,33,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0
Neah Bay,2006,site 2,T3,F,47,0,0,3,0,3,0,0,0,0,0,0,140,0,0,0,0
Neah Bay,2006,site 2,T3,R,45,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0
Neah Bay,2006,site 2,T4,F,9,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0
Neah Bay,2006,site 2,T4,R,11,0,0,3,0,1,0,0,0,0,0,1,2,0,0,0,0
Neah Bay,2006,Site 3,T1,F,0,0,0,1,1,0,0,0,0,0,0,0,50,0,0,0,0
Neah Bay,2006,Site 3,T1,R,1,0,0,0,1,0,0,0,0,0,1,0,30,0,0,0,0
Neah Bay,2006,Site 3,T2,F,9,0,0,1,0,3,0,0,0,0,0,0,90,0,0,0,0
Neah Bay,2006,Site 3,T2,R,10,0,0,2,0,1,0,0,0,0,0,0,90,0,0,0,0
Neah Bay,2006,Site 3,T3,F,9,0,0,2,1,3,0,0,0,0,0,0,91,0,0,0,0
Neah Bay,2006,Site 3,T3,R,11,0,0,2,1,4,1,0,0,0,1,0,131,0,0,0,0
Neah Bay,2006,Site 3,T4,F,26,0,0,2,1,3,0,0,0,0,0,0,120,0,0,0,0
Neah Bay,2006,Site 3,T4,R,20,0,0,2,0,11,0,0,0,0,0,0,70,0,0,0,0
Neah Bay,2006,Site 4,T1,F,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2006,Site 4,T1,R,23,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2006,Site 4,T2,F,14,0,0,0,1,1,0,0,0,0,0,2,10,0,0,0,0
Neah Bay,2006,Site 4,T2,R,7,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
Neah Bay,2006,Site 4,T3,F,20,0,0,0,1,1,0,0,0,0,0,2,10,0,0,0,0
Neah Bay,2006,Site 4,T3,R,30,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
Neah Bay,2006,Site 4,T4,F,11,0,0,0,1,9,0,0,0,0,0,2,0,0,0,0,0
Neah Bay,2006,Site 4,T4,R,14,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
Neah Bay,2007,Site 1,T1,F,146,0,0,1,0,0,9,0,1,1,0,6,0,0,0,0,0
Neah Bay,2007,Site 1,T1,R,127,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2007,Site 1,T2,F,60,0,0,0,0,0,3,1,1,5,0,5,1,0,0,0,0
Neah Bay,2007,Site 1,T2,R,71,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0
Neah Bay,2007,Site 1,T3,F,110,0,0,0,0,0,5,0,1,1,0,1,0,0,0,0,0
Neah Bay,2007,Site 1,T3,R,74,0,0,4,0,4,1,0,0,0,0,1,0,0,0,0,0
